lease_id,no_rent_change,rent_change_10,rent_change_20,lease_length_2,lease_length_3,lease_length_1,age_range_under_24,age_range_24_29,age_range_30_39,age_range_40_49,age_range_50_59,age_range_60,NoFinesViolations,PositiveSurvey,LatePayments,HOA_mandatory,Renewed
BLK0001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
BLK0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BLK0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
BLK0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BLK0019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
BLK0020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
BLK0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLK0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
