,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
1,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
2,musical_instruments,musical_instruments,toys,toys,,,,,,,,,,,,,,,,,,,,
3,housewares,housewares,,,,,,,,,,,,,,,,,,,,,,
4,luggage_accessories,luggage_accessories,,,,,,,,,,,,,,,,,,,,,,
5,stationery,,,,,,,,,,,,,,,,,,,,,,,
6,electronics,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
7,furniture_living_room,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
8,stationery,stationery,,,,,,,,,,,,,,,,,,,,,,
9,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
10,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
11,luggage_accessories,luggage_accessories,,,,,,,,,,,,,,,,,,,,,,
12,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
13,office_furniture,office_furniture,,,,,,,,,,,,,,,,,,,,,,
14,cool_stuff,luggage_accessories,,,,,,,,,,,,,,,,,,,,,,
15,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
16,garden_tools,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
17,office_furniture,office_furniture,,,,,,,,,,,,,,,,,,,,,,
18,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
19,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
20,luggage_accessories,stationery,,,,,,,,,,,,,,,,,,,,,,
21,telephony,telephony,,,,,,,,,,,,,,,,,,,,,,
22,garden_tools,garden_tools,garden_tools,garden_tools,,,,,,,,,,,,,,,,,,,,
23,toys,toys,,,,,,,,,,,,,,,,,,,,,,
24,sports_leisure,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,
25,housewares,housewares,,,,,,,,,,,,,,,,,,,,,,
26,housewares,housewares,housewares,housewares,,,,,,,,,,,,,,,,,,,,
27,flowers,furniture_decor,furniture_decor,furniture_decor,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,
28,sports_leisure,electronics,,,,,,,,,,,,,,,,,,,,,,
29,watches_gifts,watches_gifts,,,,,,,,,,,,,,,,,,,,,,
30,furniture_decor,furniture_decor,furniture_decor,furniture_decor,baby,,,,,,,,,,,,,,,,,,,
31,drinks,drinks,,,,,,,,,,,,,,,,,,,,,,
32,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
33,perfumery,perfumery,,,,,,,,,,,,,,,,,,,,,,
34,garden_tools,garden_tools,,,,,,,,,,,,,,,,,,,,,,
35,fashion_bags_accessories,fashion_bags_accessories,,,,,,,,,,,,,,,,,,,,,,
36,bed_bath_table,home_appliances,,,,,,,,,,,,,,,,,,,,,,
37,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
38,perfumery,perfumery,,,,,,,,,,,,,,,,,,,,,,
39,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,
40,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
41,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
42,garden_tools,garden_tools,,,,,,,,,,,,,,,,,,,,,,
43,bed_bath_table,housewares,,,,,,,,,,,,,,,,,,,,,,
44,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
45,bed_bath_table,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,
46,garden_tools,garden_tools,auto,,,,,,,,,,,,,,,,,,,,,
47,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
48,musical_instruments,toys,,,,,,,,,,,,,,,,,,,,,,
49,auto,auto,,,,,,,,,,,,,,,,,,,,,,
50,food,food,sports_leisure,,,,,,,,,,,,,,,,,,,,,
51,health_beauty,office_furniture,,,,,,,,,,,,,,,,,,,,,,
52,auto,auto,,,,,,,,,,,,,,,,,,,,,,
53,auto,auto,,,,,,,,,,,,,,,,,,,,,,
54,construction_tools_lights,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
55,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
56,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
57,kitchen_dining_laundry_garden_furniture,kitchen_dining_laundry_garden_furniture,,,,,,,,,,,,,,,,,,,,,,
58,garden_tools,garden_tools,garden_tools,,,,,,,,,,,,,,,,,,,,,
59,musical_instruments,toys,,,,,,,,,,,,,,,,,,,,,,
60,sports_leisure,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,
61,sports_leisure,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,
62,bed_bath_table,housewares,,,,,,,,,,,,,,,,,,,,,,
63,garden_tools,garden_tools,,,,,,,,,,,,,,,,,,,,,,
64,pet_shop,pet_shop,,,,,,,,,,,,,,,,,,,,,,
65,watches_gifts,watches_gifts,,,,,,,,,,,,,,,,,,,,,,
66,electronics,electronics,electronics,,,,,,,,,,,,,,,,,,,,,
67,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
68,computers_accessories,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,
69,furniture_decor,office_furniture,furniture_decor,,,,,,,,,,,,,,,,,,,,,
70,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
71,bed_bath_table,bed_bath_table,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,
72,fashion_shoes,fashion_shoes,,,,,,,,,,,,,,,,,,,,,,
73,food,food,,,,,,,,,,,,,,,,,,,,,,
74,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
75,fashion_bags_accessories,fashion_bags_accessories,,,,,,,,,,,,,,,,,,,,,,
76,housewares,housewares,,,,,,,,,,,,,,,,,,,,,,
77,sports_leisure,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,
78,computers_accessories,computers_accessories,computers_accessories,computers_accessories,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,
79,watches_gifts,watches_gifts,,,,,,,,,,,,,,,,,,,,,,
